Models,Complete Test set,3k unique random,3k weighted unique random,Top-3k,Bottom - 3k
RNN,65.27,64.6,65.4,62.7,62.3
LSTM,75.91,75.8,75.36,73.1,72.4
GRU,85.30,85.43,84.13,82.40,81.96
